occurance,transcription,App_TAG
1,to check my c_c_b percent,Enquire_CCB
1,enquiring about six hundred bonus per child,Enquire_LumpPayment
2,unsure,Enquire_Vague
1,i wanna check on my payments,Check_Payments
2,i need to talk to a customer service officer,Request_Operator
1,enquiry on family tax benefit b,Enquire_FTB
1,single parent's pension,Enquire_Parenting
1,interview time,Appointment
2,self_service payments,Check_Payments
1,update family assistance income,Update_FamilyIncomeEstimate
1,just to claim child_care benefit,Claim
2,to report a fraud,Fraud
1,i haven't got paid,Enquire_Payments
1,i want to register my child in child_care,Enquire_CCB
1,i want to find out my estimate for two thousand and six two thousand and seven,Update_FamilyIncomeEstimate
1,change child_care centre information,Enquire_CCB
1,i'm sorry i'm just i have a reference number now yes i have i give you reference number two zero seven five three one three one six k,Enquire_Vague
1,interview recovery debt,Debt
1,i want to know when i'm getting the family tax benefit advance,Advance
1,enquiry about parenting payments,Enquire_Parenting
1,about the six hundred dollars for each children,Enquire_LumpPayment
1,application for payment form from parenting payments,Claim
5,check payment details,Check_Payments
1,to register my child for child_care,Enquire_CCB
1,an update letter you sent me,Respond_Correspondence
15,port my earnings,Report_Earnings
1,to speak with customer service,Request_Operator
1,regarding employment,Employment
1,i want to apply for the family tax benefit,Claim
2,applying for parenting payments,Claim
1,the six hundred dollar bonus per child,Enquire_LumpPayment
1,i need to report my no i need to find out about my payments,Check_Payments
1,i want to stop the child_care benefit,Enquire_CCB
8,employment income,Report_Earnings
1,husband is now on sickness benefit and i have been told that i have to claim for me and the children,SicknessDisability
1,i want my income from last financial year,PaySummary
1,yeah i wanna update about my family,Enquire_FamilyAssistance
1,incorrect assessment of income,Assessment
1,reason for my call i been relocated with housing commission i want to change the address change the address,PersonalDetails
1,don't have to put in the tax return,TaxReturn
1,find out about the bonus baby bonus,Maternity
1,to confirm a letter i got,Respond_Correspondence
1,a a baby bonus,Maternity
1,i've received an assessment notice for child_care benefit for approved care and the combined the estimate of the income,Enquire_CCB
1,to find out whether we're eligible for family assistance,Claim
1,read my family assistance payments,Enquire_Payments
1,i would like to update my family estimate family income estimate,Update_FamilyIncomeEstimate
1,wanting to know percentage for,Enquire_CCB
1,book an interview,Appointment
10,self_service menu,GoTo_SelfService
3,my debt,Debt
1,just enquiring,Enquire_Vague
1,find out how much i'm getting paid this fortnight,Check_Payments
1,i need a child support assessment notice,ChildSupport
1,to check_up on daughter's youth allowance,YouthAllowance
1,enquiries about lump_sum payments,Enquire_LumpPayment
1,the family supplement advance,Advance
1,i need my tax support income for two thousand and seven,PaySummary
2,dates,Garbage
1,personal circumstances changed,Change_Circumstances
1,querying child_care benefit,Enquire_CCB
1,i've become inactive for some reason,Enquire_FamilyAssistance
1,update my family incomes,Update_FamilyIncomeEstimate
2,sole parent pension,Enquire_Parenting
1,letters i've received,Respond_Correspondence
1,family assistance lump_sum payments,Enquire_LumpPayment
1,update my payment,Enquire_Payments
1,enquiring about youth allowance,YouthAllowance
1,education maintenance allowance,Education
23,address,PersonalDetails
1,enquiry about a loan,Advance
1,i want to make an enquiry in regard to one of my children,Enquire_FamilyAssistance
1,i need to get a update on my payment,Enquire_Payments
1,wanna discuss with someone about the application for payment form for parenting payment,Claim
1,i need payment summary,PaySummary
1,i wanna see eva sometime this morning she is the custom service advisor please,Request_Operator
5,family benefits,Enquire_FTB
1,enquiry about living arrangements,Change_Circumstances
1,family income payments,Enquire_FTB
1,update the new salary,Update_FamilyIncomeEstimate
1,enquiries about my income,Enquire_Earnings
1,fortnight payment,Check_Payments
1,i'm ringing up about the tax benefit thing,Enquire_FTB
3,advise,Enquire_Vague
1,i need to apply for parenting payment,Claim
79,estimate,Update_FamilyIncomeEstimate
1,it's regarding the child_care tax rebate,ChildCareRebate
1,supplement loan,Advance
